264,Ganga,Bageshwar,29.82,79.77
265,Ganga,Baghpat,28.99,77.20
266,Ganga,Ballia,25.78,84.38
267,Ganga,BalpahariBarrageSite,24.04,86.39
268,Ganga,BalpahariDamAxis,24.05,86.34
269,Ganga,Balrampur,27.44,82.23
270,Ganga,Baltara,25.50,86.75
271,Ganga,Banbasa,28.99,80.11
272,Ganga,Banda,25.48,80.31
273,Ganga,Bani,26.67,80.80
274,Ganga,Bansi,27.19,82.94
275,Ganga,Baranwada,26.00,76.67
276,Ganga,Bareilly,28.27,79.38
277,Ganga,Barkisuriya,24.22,85.90
278,Ganga,Barod,25.40,76.32
279,Ganga,Basoda,23.90,77.94
280,Ganga,Basti,26.78,82.71
281,Ganga,Basua,26.15,86.53
282,Ganga,Bausan,30.52,77.93
283,Ganga,Bazarsaw,23.88,88.18
284,Ganga,Bedepara,24.32,88.44
285,Ganga,Benibad,26.15,85.69
286,Ganga,Berhait,24.89,87.61
287,Ganga,Berhampore,24.10,88.24
288,Ganga,Bewar,27.17,79.33
289,Ganga,Bhagalpur,25.27,87.03
290,Ganga,Bhatparani,26.33,83.99
291,Ganga,Bhatpurwaghat,27.20,80.78
292,Ganga,Bhikiasen,29.70,79.26
293,Ganga,Bhind,26.61,78.86
294,Ganga,Bhinga,27.69,81.83
295,Ganga,Bhitaura,26.03,80.85
296,Ganga,Bigod,25.25,75.05
297,Ganga,Birdghat,26.72,83.35
298,Ganga,Birpur,26.44,86.87
299,Ganga,Biswanathpur,24.51,88.16
300,Ganga,Buxar,25.60,84.00
301,Ganga,Chandradeepghat,27.14,82.50
302,Ganga,Chandrapuri,30.43,79.07
303,Ganga,Chanpatia,26.96,84.52
304,Ganga,Chapra,23.51,88.53
305,Ganga,Chargharia,26.32,87.94
306,Ganga,Chatia,26.53,84.56
307,Ganga,ChhapraMakhdumganj,25.77,84.65
308,Ganga,ChhatnagAllahabad,25.40,81.91
309,Ganga,Chillaghat,25.77,80.53
310,Ganga,ChittogarhatRiverBerach,24.88,74.60
311,Ganga,Chittorgarh,24.87,74.64
312,Ganga,Chopan,24.53,83.05
313,Ganga,Colonelganj,27.12,81.65
314,Ganga,DRGhat,22.63,86.96
315,Ganga,Dabri,27.50,79.70
316,Ganga,Dadri,28.51,76.76
317,Ganga,Dalmau,26.05,81.03
318,Ganga,DaltenGanj,24.03,84.06
