Ganga_DelhiRlyBridge,26018.94
Ganga_DeoprayagB,7648.3
Ganga_DeoprayagG,18731.87
Ganga_Dhaneta,1447.28
Ganga_Dhansa,494.79
Ganga_Dharamnagari,26192.91
Ganga_Dharchula,3334.77
Ganga_Dhareri,1708.72
Ganga_DhengBridge,17.9
Ganga_DhengraGhat,11192.12
Ganga_Dholpur,140304.8
Ganga_Dighaghat,718069.7
Ganga_Duddhi,4937.8
Ganga_Dumariaghat,39997.96
Ganga_DurgapurBarrage,19884.73
Ganga_Ekmighat,728.29
Ganga_Elginbridge,76807.07
Ganga_EnglishBazar,5758.07
Ganga_Etawah,68462.59
Ganga_Farakka,923871.13
Ganga_FarakkaFeederCanal,512.08
Ganga_FatehganjEast,1048.68
Ganga_Fatehgarh,41057.97
Ganga_Gaighat,1.47
Ganga_Gaisabad,12462.31
Ganga_Galeta,4454.74
Ganga_Galgalia,370.14
Ganga_GandhiGhat,1.94
Ganga_GandhisagarDam,22825.34
Ganga_GangpurSiswan,128303.06
Ganga_Garhakota,1669.93
Ganga_Garhamukteshwar,28782.36
Ganga_Garrauli,6261.74
Ganga_Gaya,3128.34
Ganga_Ghat,3878.91
Ganga_Ghazipur,493457.52
Ganga_Gheropara,27.04
Ganga_GiridihSeasonal,630.26
Ganga_GokulBarrage,35474.48
Ganga_Goverdheyghat,10384.28
Ganga_Hajipur,43293.23
Ganga_Hamirpur,251176.9
Ganga_Hanskhali,11.58
Ganga_Hardwar,23182.34
Ganga_Harinkhola,21884.89
Ganga_Haripur,5127.47
Ganga_Hathidah,767821.51
Ganga_Hayaghat,5.36
Ganga_Hendgir,2043.77
Ganga_Hetimpur,6.13
Ganga_Indrapuri,66668.1
Ganga_Islampur,3.43
Ganga_Jahangirabad,1794.82
Ganga_Jainagar,356.4
Ganga_Jalalpur,11086.78
Ganga_Jamalpur,21338.48
Ganga_Jamtara,2890.56
Ganga_Japla,31.84
Ganga_JateionBarrage,2385.95
Ganga_Jauljibi,2237.29
Ganga_Jaunpur,18342.11
Ganga_Jhanjharpur,3.7
Ganga_Jhawa,11758.45
Ganga_Jhokoo,5835.02
Ganga_Jhulaghat,7837.68
Ganga_Joshimath,4590.07
Ganga_Kachlabridge,32771.71
Ganga_Kadirganj,1499.71
Ganga_Kahalgaon,803960.7
Ganga_Kaimaha,741.59
Ganga_Kakarahi,2609.26
Ganga_Kakardhari,6554.86
Ganga_Kalagarh,3189.2
Ganga_Kalanau,857.75
Ganga_KalnaEbb,23607.33
Ganga_KalnaFlow,23607.33
Ganga_Kalpi,239961.71
Ganga_Kamtaul,3807.32
Ganga_KangsabatiDam,3639.93
Ganga_KannaujGumatia,290.38
Ganga_Kanpur,87224.75
Ganga_Karanprayag,8316.54
Ganga_Kamal,13793.91
Ganga_Kasganj,8120.34
Ganga_KatwaPurbastHali,20425.42
Ganga_Khadda,36709.07
Ganga_Khagaria,11.46
Ganga_Kharidwar,1212.49
Ganga_Kharra,6488.94
Ganga_Khatoli,32.74
Ganga_Kinjer,1.84
Ganga_Koelwar,67179.31
Ganga_KonarDam,1006.18
Ganga_Kora,2.89
Ganga_Kota,5734.82
Ganga_KuldahBridge,23275.12
Ganga_Kursela,100813.02
Ganga_Kushkami,81.38
Ganga_Labha,12005.34
Ganga_Lakhisarai,2593.84
Ganga_LalbegiaGhat,6717.32
Ganga_Lalganj,41527.68
Ganga_Lalgarh,5012.01
Ganga_Lalpur,7398.89
Ganga_LucknowHanumanSetu,9672.9
Ganga_Maharo,1314.85
Ganga_Mahidpur,4441.59
Ganga_Mahua,11.2
Ganga_Maighat,29921.1
Ganga_MaithonDam,6412.1
Ganga_Mandawara,28649.6
Ganga_Manderial,139028.65
Ganga_Mandla,20592.83
Ganga_Maner,67225.47
Ganga_Maniram,2159.28
Ganga_Mankatha,5.65
Ganga_Marora,1797.93
Ganga_Masani,1.96
Ganga_MassanjoreDam,1883.27
Ganga_Mathura,35387.14
Ganga_Matigara,353.73
Ganga_Mawi,15552.9
Ganga_MejjaRoad,17450.89
Ganga_Mirzapur,454435.05
Ganga_MohammadGanj,11088.95
Ganga_Mohana,32997.27
Ganga_Mohana1,39528.24
Ganga_Mohanpur,5731.02
Ganga_Moradabad,6745.91
Ganga_Moradabad1,1823.48
Ganga_Motipur,194.93
Ganga_Mukhlishpur,13487.35
Ganga_Munger,7.52
Ganga_Nahargarh,2061.15
Ganga_Naini,339284.65
Ganga_Nandadih,5398.48
Ganga_NandadihHOIW,5371.45
Ganga_Nandkeshri,1207.14
