POP,HFI,AGRI,NITRO,PHOSF,POTAS,GDP_1990,GDP_1991,GDP_1992,GDP_1993,GDP_1994,GDP_1995,GDP_1996,GDP_1997,GDP_1998,GDP_1999,GDP_2000,GDP_2001,GDP_2002,GDP_2003,GDP_2004,GDP_2005,GDP_2006,GDP_2007,GDP_2008,GDP_2009,GDP_2010,GDP_2011,GDP_2012,GDP_2013,GDP_2014,GDP_2015,HDI_1990,HDI_1991,HDI_1992,HDI_1993,HDI_1994,HDI_1995,HDI_1996,HDI_1997,HDI_1998,HDI_1999,HDI_2000,HDI_2001,HDI_2002,HDI_2003,HDI_2004,HDI_2005,HDI_2006,HDI_2007,HDI_2008,HDI_2009,HDI_2010,HDI_2011,HDI_2012,HDI_2013,HDI_2014,HDI_2015
198.30,34.80,0.73,304371.04,100855.12,30813.40,1053.94,1005.87,980.52,992.09,1015.92,1047.33,1081.08,1083.65,1113.97,1180.66,1201.84,1194.13,1242.56,1239.06,1398.64,1363.25,1469.04,1606.12,1671.23,1742.48,1911.01,2010.88,2096.64,2207.76,2338.82,2485.63,0.35,0.35,0.36,0.36,0.37,0.38,0.38,0.39,0.39,0.40,0.40,0.41,0.41,0.42,0.43,0.44,0.45,0.45,0.46,0.46,0.47,0.48,0.49,0.50,0.50,0.51
185.51,34.85,0.73,198496.14,68274.08,28317.72,1140.17,1168.03,1147.30,1167.93,1218.04,1284.80,1354.49,1377.81,1423.48,1497.19,1487.35,1521.41,1550.94,1696.82,1886.95,1934.84,2115.52,2411.03,2430.75,2543.33,2808.14,2954.91,3080.92,3244.21,3436.79,3652.53,0.35,0.35,0.36,0.36,0.37,0.37,0.38,0.38,0.39,0.40,0.40,0.40,0.41,0.42,0.43,0.43,0.44,0.45,0.46,0.46,0.47,0.48,0.48,0.49,0.50,0.50
177.78,35.11,0.72,223866.02,75866.82,28056.67,1124.79,1119.01,1098.15,1118.48,1161.81,1217.94,1275.97,1291.56,1330.95,1400.76,1398.56,1420.37,1453.00,1547.71,1721.68,1739.33,1893.72,2125.75,2165.40,2263.46,2491.43,2621.64,2733.44,2878.31,3049.17,3240.58,0.35,0.35,0.36,0.36,0.37,0.38,0.38,0.39,0.39,0.40,0.40,0.41,0.41,0.42,0.43,0.44,0.45,0.46,0.46,0.47,0.47,0.48,0.49,0.50,0.50,0.51
185.34,34.23,0.77,169051.67,59602.18,31583.11,1163.34,1254.69,1233.72,1253.97,1315.65,1401.18,1491.79,1529.29,1586.70,1667.97,1645.27,1700.86,1725.87,1964.50,2185.80,2289.08,2517.64,2931.22,2913.38,3052.39,3385.27,3562.20,3714.11,3910.96,4143.12,4403.19,0.34,0.34,0.35,0.35,0.36,0.36,0.37,0.37,0.38,0.39,0.39,0.39,0.40,0.41,0.42,0.42,0.43,0.44,0.44,0.45,0.46,0.47,0.47,0.48,0.49,0.49
171.91,34.57,0.73,206067.69,70278.84,27535.74,1133.66,1147.29,1126.50,1147.01,1194.25,1256.51,1321.26,1341.31,1384.33,1456.39,1449.78,1478.65,1509.49,1633.72,1817.02,1852.12,2021.67,2290.31,2318.47,2424.91,2674.13,2813.89,2933.88,3089.38,3272.77,3478.21,0.35,0.35,0.36,0.36,0.37,0.37,0.38,0.39,0.39,0.40,0.40,0.41,0.41,0.42,0.43,0.44,0.44,0.45,0.46,0.46,0.47,0.48,0.49,0.49,0.50,0.51
117.89,35.68,0.67,150954.96,54411.53,22312.80,1299.74,1200.52,1197.51,1252.41,1323.20,1397.80,1464.07,1472.24,1499.07,1550.55,1511.37,1558.74,1549.78,1645.37,1749.50,1746.55,1893.45,2013.23,2106.52,2200.39,2381.33,2505.79,2612.65,2751.12,2914.43,3097.38,0.39,0.39,0.40,0.40,0.41,0.42,0.42,0.43,0.43,0.44,0.45,0.45,0.46,0.47,0.48,0.48,0.49,0.50,0.51,0.51,0.52,0.53,0.54,0.55,0.56,0.56
40.30,16.04,0.18,31206.48,11758.85,4408.59,1707.97,1755.84,1830.49,1875.06,1897.97,1896.03,1885.59,1870.33,1941.10,2110.67,2254.20,2516.89,2516.63,2678.56,2907.19,3241.58,3361.30,3626.35,3807.75,4214.87,4464.19,4753.94,5005.44,5303.43,5633.20,5988.45,0.42,0.42,0.43,0.44,0.45,0.45,0.46,0.47,0.47,0.48,0.49,0.49,0.50,0.51,0.52,0.53,0.54,0.55,0.56,0.56,0.57,0.58,0.59,0.60,0.61,0.61
16.30,14.50,0.17,1309.16,470.94,155.34,2041.46,2122.86,2254.14,2361.39,2381.83,2343.73,2275.06,2156.13,2138.12,2268.20,2437.31,2727.77,2546.37,2709.50,2954.23,3455.50,3453.33,3705.75,3924.50,4368.59,4695.00,4942.81,5151.26,5410.49,5725.95,6071.89,0.43,0.43,0.44,0.45,0.45,0.46,0.47,0.48,0.48,0.49,0.49,0.50,0.51,0.52,0.53,0.54,0.55,0.56,0.56,0.57,0.58,0.59,0.60,0.61,0.61,0.62
40.09,21.00,0.14,8183.23,2105.87,2019.70,2300.14,2293.32,2423.38,2512.75,2674.10,2876.46,3017.83,3129.37,3239.97,3407.90,3541.67,3723.70,3998.05,4179.83,4306.25,4486.34,4682.20,5390.81,5538.17,5805.20,6369.75,6759.83,6996.15,7052.74,7341.35,7493.85,0.49,0.49,0.50,0.50,0.50,0.51,0.51,0.52,0.52,0.53,0.53,0.53,0.54,0.54,0.55,0.55,0.56,0.56,0.57,0.57,0.57,0.58,0.59,0.60,0.60,0.61
13.11,12.39,0.20,3595.18,1268.59,518.25,2030.59,2113.83,2244.37,2351.28,2368.21,2324.54,2251.37,2128.02,2107.97,2237.67,2407.37,2700.35,2509.72,2672.47,2920.00,3427.22,3421.77,3662.96,3883.06,4331.34,4650.87,4895.72,5104.10,5369.06,5685.49,6036.55,0.43,0.43,0.44,0.44,0.45,0.46,0.47,0.47,0.48,0.49,0.49,0.50,0.50,0.52,0.53,0.54,0.55,0.56,0.56,0.57,0.58,0.59,0.60,0.61,0.61,0.62
38.51,15.23,0.13,23517.76,9671.33,3491.05,1433.83,1467.18,1500.97,1500.42,1529.89,1558.34,1592.49,1670.74,1826.00,2042.73,2187.12,2463.86,2633.25,2811.86,3031.05,3259.82,3519.10,3852.33,4017.13,4424.36,4632.01,4989.93,5302.67,5650.02,6015.80,6395.82,0.41,0.42,0.43,0.44,0.44,0.45,0.46,0.47,0.47,0.48,0.49,0.49,0.50,0.51,0.52,0.53,0.54,0.55,0.56,0.56,0.57,0.58,0.59,0.60,0.60,0.61
158.15,18.27,0.46,19652.30,6945.87,3679.89,1880.69,1882.25,1912.50,2069.19,2092.45,2035.69,1956.60,1862.96,1916.31,2195.20,2627.67,2886.74,3114.36,3199.95,3291.80,3636.75,3738.83,3886.25,4065.44,4164.93,4257.82,4480.77,4672.76,4921.30,5214.06,5540.51,0.43,0.43,0.44,0.44,0.45,0.46,0.47,0.47,0.48,0.49,0.49,0.50,0.50,0.52,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.60,0.61,0.61,0.62
