"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
4.69838741787776,0,0,0,0,0,0,95.3016125821222,0,0,0,0,0,0,0,0
0.352733686067019,0,0,0,3.35097001763668,0,0,96.2962962962963,0,0,0,0,0,0,0,0
0,0,4.19161676646707,0,9.82035928143713,0.119760479041916,0,26.2275449101796,47.0658682634731,0,0,0,0.958083832335329,0,0,11.6167664670659
0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
0,0,1.16204002582311,0,59.974176888315,38.8637830858618,0,0,0,0,0,0,0,0,0,0
0,0,31.1806098514464,0,0,0,0,68.8193901485536,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,72.2627737226277,27.7372262773723,0,0,0,0,0,0,0
0,0,0,0,0,0,0,76.9784172661871,23.0215827338129,0,0,0,0,0,0,0
0,0,0,0,0,0,0,54.1450777202072,45.8549222797927,0,0,0,0,0,0,0
0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,69.740099009901,30.259900990099,0,0,0,0,0,0,0
0,0,0,0,0,0,0,69.7630073549442,30.2369926450558,0,0,0,0,0,0,0
0,0,0,0,0,0,0,68.9891490576813,31.0108509423187,0,0,0,0,0,0,0
0,0,0,0,0,0,0,78.6501377410468,21.3498622589532,0,0,0,0,0,0,0
0,0,0,0,0,0,0,23.0434782608696,76.9565217391305,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
0,0,0,0,0,0,0,52.7363184079602,47.2636815920398,0,0,0,0,0,0,0
0,0,0,0,0,0,0,69.2207792207792,30.7792207792208,0,0,0,0,0,0,0
0,0,0,0,0,0,0,63.7821171634121,36.2178828365879,0,0,0,0,0,0,0
0,0,0,0,0,0,0,77.3913043478261,22.6086956521739,0,0,0,0,0,0,0
0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,86.6035182679296,13.3964817320704,0,0,0,0,0,0,0
0,0,0,0,0,0,0,69.9095022624434,30.0904977375566,0,0,0,0,0,0,0
0,0,0,0,0,0,0,92.5690021231423,7.43099787685775,0,0,0,0,0,0,0
0,0,0,0,0,0,0,84.0445269016698,15.9554730983302,0,0,0,0,0,0,0
0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.07577671129073,99.9242232887093,0,0,0,0,0,0,0
0,0,0,0,0,0,0,5.77695396972505,94.2230460302749,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
0,0,0,0,0,0,0,65.7736101808439,34.2263898191561,0,0,0,0,0,0,0
0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
21.8277945619335,0,0,0,0,0,0,71.9033232628399,6.26888217522658,0,0,0,0,0,0,0
64.622641509434,0,0,0,0,0,0,32.0754716981132,3.30188679245283,0,0,0,0,0,0,0
30.293501048218,0,0,0,0,0,0,61.0062893081761,8.70020964360587,0,0,0,0,0,0,0
0,0,0,0,0,0,0,56.8690095846645,43.1309904153355,0,0,0,0,0,0,0
26.6359447004608,0,0,0,0,0,0,65.7142857142857,7.64976958525346,0,0,0,0,0,0,0
0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
0,0,30.7529162248144,0,0,0,0,62.6723223753977,6.57476139978791,0,0,0,0,0,0,0
33.8493292053664,0,0,0,0,0,0,36.7389060887513,29.4117647058824,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.287047003946896,99.7129529960531,0,0,0,0,0,0,0
0.40290088638195,0,0,0,0,0,0,99.597099113618,0,0,0,0,0,0,0,0
1.30597014925373,0,27.0522388059701,0,0,0,0,65.8582089552239,5.78358208955224,0,0,0,0,0,0,0
