BLD_D2.5cm,BLD_D10cm,BLD_D22.5cm,BLD_D45cm,BLD_D80cm,BLD_D150cm,CLYPPT_D2.5cm,CLYPPT_D10cm,CLYPPT_D22.5cm,CLYPPT_D45cm,CLYPPT_D80cm,CLYPPT_D150cm,CRFVOL_D2.5cm,CRFVOL_D10cm,CRFVOL_D22.5cm,CRFVOL_D45cm,CRFVOL_D80cm,CRFVOL_D150cm,ORCDRC_D2.5cm,ORCDRC_D10cm,ORCDRC_D22.5cm,ORCDRC_D45cm,ORCDRC_D80cm,ORCDRC_D150cm,SLTPPT_D2.5cm,SLTPPT_D10cm,SLTPPT_D22.5cm,SLTPPT_D45cm,SLTPPT_D80cm,SLTPPT_D150cm,SNDPPT_D2.5cm,SNDPPT_D10cm,SNDPPT_D22.5cm,SNDPPT_D45cm,SNDPPT_D80cm,SNDPPT_D150cm
1116.90,1135.43,1165.77,1216.08,1276.10,1329.94,14.80,16.25,18.31,20.35,20.27,18.74,37.00,38.75,42.02,48.21,53.73,57.20,75.11,63.60,48.49,31.06,18.09,10.26,29.57,28.91,27.97,26.88,26.24,25.83,54.77,53.95,52.83,51.89,52.61,54.57
1153.09,1171.34,1201.16,1250.65,1309.71,1362.65,19.55,21.20,23.47,25.64,25.59,24.05,23.90,24.88,26.77,30.61,34.12,36.39,58.96,49.93,38.07,24.38,14.20,8.05,32.51,31.72,30.64,29.45,28.86,28.56,45.50,44.64,43.45,42.46,43.12,44.98
1142.17,1160.12,1189.46,1238.15,1296.25,1348.34,17.58,19.18,21.37,23.48,23.41,21.87,15.61,16.11,17.22,19.69,22.05,23.64,62.81,53.19,40.55,25.97,15.12,8.58,28.28,27.59,26.64,25.57,24.98,24.61,50.09,49.19,47.96,46.93,47.59,49.48
1241.29,1259.99,1290.57,1341.31,1401.85,1456.13,26.12,28.01,30.55,32.92,32.91,31.28,17.02,17.24,18.03,20.54,23.19,25.12,38.13,32.29,24.62,15.76,9.18,5.20,35.84,35.00,33.84,32.61,32.01,31.74,38.08,37.04,35.64,34.49,35.12,37.01
1374.32,1393.01,1423.60,1474.34,1534.87,1589.16,26.71,28.60,31.16,33.55,33.53,31.90,9.74,9.70,10.02,11.35,12.89,14.06,26.48,22.42,17.09,10.94,6.37,3.60,34.21,33.35,32.20,30.95,30.35,30.09,39.10,38.07,36.68,35.54,36.15,38.03
1345.87,1364.58,1395.16,1445.88,1506.42,1560.70,26.54,28.43,30.96,33.33,33.31,31.71,13.00,13.03,13.50,15.35,17.38,18.92,32.08,27.17,20.71,13.27,7.72,4.39,36.61,35.77,34.63,33.41,32.83,32.56,36.85,35.79,34.40,33.26,33.87,35.73
1125.17,1143.33,1173.02,1222.27,1281.06,1333.76,18.58,20.21,22.46,24.62,24.55,23.00,18.71,19.43,20.89,23.92,26.75,28.61,57.77,48.92,37.30,23.89,13.91,7.89,30.32,29.58,28.56,27.43,26.84,26.50,48.18,47.29,46.08,45.07,45.72,47.59
950.05,966.77,994.10,1039.46,1093.59,1142.12,14.45,15.80,17.71,19.55,19.50,18.16,32.13,33.45,36.05,41.25,45.98,48.99,72.08,61.03,46.54,29.81,17.35,9.84,28.63,28.00,27.09,26.07,25.51,25.15,46.32,45.60,44.59,43.77,44.39,46.10
1368.95,1387.65,1418.21,1468.93,1529.44,1583.71,28.54,30.46,33.05,35.45,35.44,33.82,9.53,9.28,9.37,10.59,12.11,13.34,27.79,23.53,17.95,11.49,6.69,3.81,35.56,34.71,33.57,32.36,31.77,31.50,35.88,34.78,33.34,32.17,32.76,34.65
1239.14,1257.84,1288.43,1339.16,1399.69,1453.98,24.90,26.76,29.26,31.60,31.57,29.97,17.58,17.64,18.30,20.82,23.57,25.64,41.50,35.12,26.78,17.16,10.00,5.67,36.60,35.75,34.60,33.37,32.81,32.55,38.55,37.55,36.17,35.07,35.65,37.50
