"URBAN","MIXED_SETTLEMENTS","RICE_VILLAGES","IRRIGATED_VILLAGES","RAINFED_VILLAGES","PASTORAL_VILLAGES","RESIDENTIAL_IRRIGATED_CROPLANDS","RESIDENTIAL_RAINFED_CROPLANDS","POPULATED_CROPLANDS","REMOTE_CROPLANDS","RESIDENTIAL_RANGELANDS","POPULATED_RANGELANDS","REMOTE_RANGELANDS","RESIDENTIAL_WOODLANDS","POPULATED_WOODLANDS","REMOTE_WOODLANDS","INHABITED_TREELESS_AND_BARREN_LANDS","WILD_WOODLANDS","WILD_TREELESS_AND_BARREN_LANDS"
0,1.05204872646733,69.6883404524601,0,4.49295997468755,0,0,14.4439171017244,0.158202816010125,0,0,0,0,3.33016927701313,6.8343616516374,0,0,0,0
0,1.22591943957968,58.6690017513135,0,0,0,0,32.661996497373,0,0,0,0,0,3.94045534150613,3.50262697022767,0,0,0,0
0,1.22773008400258,69.7129142435152,0,4.33859503369334,0,0,14.0496630665559,0.184621065263547,0,0,0,0,3.00932336379581,7.47715314317364,0,0,0,0
0.362765725894217,0.5332656170645,58.0243778567801,0,5.04969890444751,0,0,19.6836682870202,0.362765725894217,0,0,0,0,14.0789378219546,1.90452006094464,0,0,0,0
0,1.10651110274746,59.6989085434701,0,6.39819345126082,0,0,12.3146405720738,0,0,0,0,0,20.4516371847949,0.0301091456529921,0,0,0,0
0.221474131821403,0.695428773919206,60.5643160878809,0.221474131821403,4.45827427356485,0,0,21.3855421686747,0.617912827781715,0,0,0,0,10.296332388377,1.53924521615875,0,0,0,0
0.313008639038437,0.460122699386503,56.9362714410918,0,5.12082133466884,0,0,22.7056466758483,0.353699762113434,0,0,0,0,12.4201827970452,1.69024665080756,0,0,0,0
0,0.13602077408186,68.61629776184,0,4.43922344503524,0,0,13.7257326573513,0.247310498330654,0,0,0,0,3.06665017930011,9.76876468406084,0,0,0,0
0.260206604043611,0.520413208087221,57.6617834560641,0,4.63948375009758,0,0,23.1427753636387,0.725976425281674,0,0,0,0,11.3450079363014,1.70435325648565,0,0,0,0
0,0,51.7551755175518,0,9.3009300930093,0,0,32.2532253225323,3.000300030003,0,0,0,0,0.21002100210021,3.48034803480348,0,0,0,0
0,0.225347034433027,8.40769785469623,0,2.31206057328286,0.225347034433027,0,3.63034072471606,8.27925004506941,1.82531097890752,1.35433567694249,21.6941590048675,1.59545700378583,8.93500991526951,32.382368848026,1.16729763836308,7.70010816657653,0,0.265909500630972
0,0,0,0,0,0,0,2.20616946505271,13.6860601327606,0,0,0,0,17.7274502147599,58.902772354549,0,7.36040609137056,0,0.117141741507224
0,0,1.4294790343075,0,1.66772554002541,1.58831003811944,0,11.1499364675985,5.24142312579416,0,3.17662007623888,7.78271918678526,14.1041931385006,6.76620076238882,36.8170266836086,6.57560355781449,3.7007623888183,0,0
0,0,0,0,0,0,0.0338724701498857,3.53967313066305,10.6782962147515,0,0,0.508087052248285,0.3556609365738,13.9469895842154,56.1182149208231,0.694385638072656,11.9908544330595,0,2.1339656194428
0,1.14284763695041,3.8054521128066,0.0712943004959707,3.66856705585433,0.237647668319902,0.350530310771856,4.16358714896469,8.11756905447122,3.14621748088719,6.75656085800314,29.1674489235749,17.0521707926263,4.90077021609302,11.0442000898308,1.3099139477793,4.33849583284814,0.142588600991941,0.56037320189833
0,52.1230612763794,2.46631070429697,1.80523773201119,31.1721332316298,0,0,3.3816425120773,0,0,0,0,0,9.05161454360539,0,0,0,0,0
0,10.3480422622747,21.9080174021131,3.10752019888129,6.21504039776259,0,0,17.7439403356122,2.42386575512741,0,0,0,0,32.3492852703543,5.90428837787446,0,0,0,0
0,1.52905198776758,5.3822629969419,0,29.3272171253823,0,0,3.68501529051988,1.49847094801223,0,0,0,0,40.5963302752294,17.9816513761468,0,0,0,0
0,0,0.0802821343578863,0,0,0.286721908421022,0,1.35046018866302,10.2474410069673,2.32244745821028,1.72319866961034,27.6027181236918,2.02999111162084,7.58092725865183,35.2725291739542,1.36766350316828,9.79728761074634,0,0.338331851936806
0,7.7650988032285,3.71091938027646,2.78318953520735,6.42916782632897,0,0,11.1420354392801,3.20066796548845,0,3.72019667872715,7.83931719083403,1.42870396140644,14.6952407458948,2.32860191112348,0,33.3055014379813,0,1.65135912422303
0.0884825247013715,4.70923659243966,22.36641596618,0.157302266135772,3.27385341395074,0,0,5.15656491176326,0.108145307968343,0,0,0,0,56.2847171017057,7.85528191515509,0,0,0,0
0,12.7005347593583,0,0,6.28342245989305,0,0,15.5080213903743,0,0,0,0,0,65.5080213903743,0,0,0,0,0
0,7.28332753219631,4.91646362687087,2.65402018795684,6.8917507831535,0,0,12.4173337974243,3.00208840932823,0,3.48938391924817,7.35294117647059,1.34006265227985,15.6804733727811,2.18412808910546,0,31.2391228680821,0,1.54890358510268
0,1.78826895565093,6.38412017167382,0,3.89842632331903,0,0,6.58082975679542,14.7532188841202,3.57653791130186,1.80615164520744,7.08154506437768,10.9799713876967,7.76108726752503,18.9735336194564,15.4685264663805,0.947782546494993,0,0
0,16.5699013915768,13.9987097963321,0.921574048474795,9.42770251589715,0,0,14.6898903326882,0.71882775781034,0,0,0,0,37.0288452677173,5.87964242926919,0,0.76490646023408,0,0
